Word,pos,meaning,rank
prestigious,形,名声のある,1004
purser,名,事務長（船・飛行機）,1005
reassure,動,安心させる,1006
resume,動,再び始める,1007
reunion,名,同窓会、親睦会,1008
revolutionize,動,革命を起こす,1009
seafood,名,海産食品,1010
signify,動,示す、表す,1011
slot,名,細長い穴・溝,1012
steer,動,舵をとる,1013
sue,動,訴訟を起こす,1014
superb,形,素晴らしい,1015
traditionally,副,伝統的に,1016
tremendous,形,とても大きい,1017
underway,形,進行中の,1018
unpleasant,形,不愉快な,1019
violin,名,バイオリン,1020
ward,名,病棟,1021
worthwhile,形,価値がある,1022
adapter,名,アダプター,1023
advisable,形,賢明で,1024
archive,名,記録保管所,1025
artistic,形,芸術的な,1026
assurance,名,保証,1027
athletic,形,運動の,1028
attire,名,服装,1029
auditor,名,会計検査官、聴講生,1030
bankruptcy,名,倒産、破綻,1031
bulk,名,大部分,1032
butter,名,バター,1033
centimeter,名,センチメートル ,1034
circulate,動,循環する、巡回する,1035
comb,動,櫛ですく,1036
comfortably,副,快適に,1037
compliance,名,遵守,1038
contraction,名,短縮,1039
cookbook,名,料理本,1040
cushion,名,クッション、緩和策,1041
dose,名,服用量,1042
drum,名,ドラム、太鼓,1043
embed,動,はめ込む,1044
evacuate,動,避難する,1045
expedite,動,促進する,1046
extinguisher,名,消火器,1047
familiarity,名,よく知っていること,1048
flaw,名,不備、欠陥,1049
fluctuate,動,変動する、上下する,1050
fluent,形,流暢な,1051
honestly,副,正直に,1052
housekeep,動,家事をする,1053
hurricane,名,暴風,1054
hygiene,名,衛生,1055
integral,形,不可欠な,1056
interactive,形,相互に作用する,1057
interfere,動,干渉する,1058
kilogram,名,キログラム ,1059
layoff,動,解雇する,1060
lightweight,名,ライト級の選手,1061
merit,名,長所、功績,1062
necklace,名,ネックレス ,1063
needy,形,困窮している,1064
overpay,動,支払いすぎる,1065
pamphlet,名,パンフレット,1066
partial,形,部分的な,1067
penalize,動,罰する,1068
pollute,動,汚染する,1069
prescribe,動,（薬を）処方する,1070
probable,形,起こりそうな,1071
prominent,形,著名な、顕著な,1072
rainfall,名,降雨,1073
relocation,名,移転・配置換え,1074
residence,名,住まい,1075
retrieve,動,取り戻す,1076
rider,名,騎手,1077
rubber,名,ゴム,1078
rug,名,敷物，じゅうたん,1079
salespeople,名,販売員,1080
sharply,副,鋭く、急に,1081
similarity,名,似ている点,1082
someday,副,何時か,1083
spectator,名,観客,1084
stereo,名,ステレオ ,1085
storeroom,名,貯蔵室,1086
subsidize,動,助成金を支給する,1087
suspicious,形,疑っている,1088
tasty,形,美味しい,1089
terrific,形,素晴らしい,1090
underground,形,地下の,1091
unpaid,形,未払いの,1092
volleyball,名,バレーボール ,1093
wheelchair,名,車いす,1094
whoever,代,～する人は誰でも,1095
wool,名,羊毛 ,1096
wrinkle,名,しわ,1097
accuracy,名,正確さ,1098
anyhow,副,とにかく,1099
appetizer,名,前菜,1100
arc,名,弧、弓形,1101
audition,名,オーディション,1102
backpack,名,バックパック,1103
ballroom,名,宴会場・ボールルーム,1104
beneficial,形,有益な、ためになる,1105
biography,名,伝記,1106
bound,形,～行きの,1107
broom,名,ほうき,1108
cheeseburger,名,チーズバーガー,1109
chilly,形,冷え冷えする,1110
circus,名,サーカス,1111
compliment,名,ほめ言葉、お世辞,1112
consignment,名,積荷、出荷品,1113
continental,形,大陸の,1114
copyright,名,著作権,1115
countryside,名,田舎、田園,1116
demolish,動,取り壊す,1117
departmental,形,部門の,1118
desperate,形,必死の,1119
devastate,動,荒廃させる,1120
diagnostic,形,診断の,1121
diagram,名,図表,1122
diamond,名,ダイヤモンド ,1123
disable,動,無能にする,1124
disgust,名,むかつくような嫌悪,1125
donut,名,ドーナツ,1126
doorman,名,ドアマン,1127
electronically,副,電子的に,1128
elevate,動,上げる、持ち上げる,1129
engagement,名,約束,1130
enrollment,名,登録,1131
euro,名,ユーロ,1132
forbid,動,禁じる,1133
fork,名,フォーク,1134
foster,動,養育する,1135
getaway,名,休暇・逃走,1136
gossip,名,噂話,1137
hacker,名,ハッカー,1138
hardworking,形,勤勉な,1139
impatient,形,我慢できない,1140
indirect,形,間接の、二次的な,1141
interpreter,名,通訳,1142
intersection,名,交差点,1143
irrelevant,形,関連のない,1144
jeans,名,ジーンズ ,1145
journalism,名,ジャーナリズム,1146
letterhead,名,レターヘッド（便箋の頭文字）,1147
lifeguard,名,救命員,1148
modem,名,変復調装置、モデム,1149
monument,名,記念碑,1150
mosquito,名,蚊 ,1151
obligate,動,義務づける,1152
oblige,動,強いる,1153
occurrence,名,発生,1154
operational,形,運転可能な,1155
outage,名,停電・停止期間,1156
overcrowd,動,混雑させる,1157
paralegal,名,弁護士補助員,1158
partially,副,部分的に,1159
pepper,名,コショウ ,1160
permanently,副,恒久的に,1161
plow,名,すき,1162
query,名,質問,1163
railway,名,鉄道 ,1164
raincoat,名,レインコート,1165
reconsider,動,再検討する,1166
redesign,動,再度設計する,1167
rehearsal,名,リハーサル,1168
relaxation,名,くつろぐこと,1169
repetition,名,繰り返すこと,1170
retreat,名,退却,1171
salon,名,大広間、しゃれた店,1172
satellite,名,衛星,1173
scenery,名,景色,1174
serial,形,連続的な,1175
sew,動,縫う,1176
sketch,名,スケッチ、略図,1177
smartphone,名,スマートフォン,1178
soar,動,舞い上がる,1179
stimulus,名,刺激,1180
stockbroker,名,株式仲買人,1181
tablecloth,名,テーブル掛け,1182
thirsty,形,のどが渇いた ,1183
thrill,動,わくわくさせる、感動させる,1184
tile,名,タイル、かわら,1185
toiletry,名,化粧品類・洗面用具,1186
trademark,名,商標,1187
tropical,形,熱帯の,1188
tuna,名,マグロ,1189
unemployed,形,失業の,1190
validate,動,有効にする,1191
vanilla,名,バニラ,1192
willingness,名,快くすること,1193
wristwatch,名,腕時計,1194
abide,動,我慢する,1195
actively,副,活発に,1196
allergy,名,アレルギー,1197
apprehensive,形,不安な,1198
automotive,形,自動車の,1199
bacteria,名,細菌,1200
broaden,動,広げる、広がる,1201
bulb,名,電球,1202
by-law,名,規約・付則,1203
cheer,動,励ます、元気付ける ,1204
complication,名,複雑、面倒な事態,1205
considerate,形,思いやりのある,1206
daytime,名,昼間,1207
decoration,名,装飾,1208
discard,動,捨てる,1209
drastically,副,劇的に,1210
erase,動,消す、消去する,1211
explorer,名,探検家,1212
factual,形,事実の,1213
fixture,名,定着物、備品,1214
footwear,名,履物,1215
genre,名,ジャンル,1216
gymnasium,名,体育館,1217
hereby,副,これにより,1218
hesitation,名,ためらい,1219
homemade,形,自家製の,1220
hospitality,名,親切なもてなし,1221
incoming,名,収入,1222
induction,名,誘導,1223
inspiration,名,ひらめき,1224
intently,副,熱心に,1225
mower,名,芝刈り機,1226
nutrition,名,栄養,1227
restatement,名,再記述・言い換え,1228
sedan,名,セダン,1229
sunscreen,名,日焼け止め,1230
wellness,名,健康・ウェルネス,1231
workbook,名,ワークブック・問題集,1232
bookcase,名,本箱,1233
cleanliness,名,清潔,1234
contestant,名,論争者、競争相手,1235
ethics,名,倫理学,1236
healthful,形,健康に良い,1237
inefficient,形,無能な,1238
liter,名,リットル,1239
recession,名,不景気,1240
timeline,名,予定表・タイムライン,1241
unreliable,形,頼りにならない,1242
acclaim,名,大かっさい，歓呼,1243
chronic,形,慢性の、常習の,1244
deteriorate,動,悪化させる,1245
resemble,動,似ている,1246
unauthorized,形,権限のない,1247
violate,動,違反する,1248
unplug,動,プラグを抜く,1249
videoconference,名,ビデオ会議,1250
